Site,Longitude,Latitude,Elevation,species,Type,Type2,D,H,Ac,Soil,potential evotranspiration (mm d-1),potential evotranspiration (mm month-1),actual evotranspoiration(mm d-1),Gst,MT,MP,MP1,Solar,MI,R
84,10.87,42.00694444,25,Myrtus communis,evergreen,angiosperm,0.034555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,10.87,42.00694444,25,Other broadleaves,deciduous,angiosperm,0.079333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,10.87,42.00694444,25,Phyllyrea angustifolia,evergreen,angiosperm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,10.87,42.00694444,25,Pinus halepensis*,evergreen,gymnosperm,0.041,NA,26.12012019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,10.87,42.00694444,25,Quercus ilex*,evergreen,angiosperm,0.118647673,15.19454545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,10.87,42.00694444,25,Quercus pubescens*,deciduous,angiosperm,0.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,10.87,42.00694444,25,Quercus suber*,evergreen,angiosperm,0.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,-4.133611111,42.00916667,1125,Fagus sylvatica*,deciduous,angiosperm,0.122142857,9.77826087,NA,234.4059,1.856841,22.282092,1.351454,11.41666667,11.41666667,42.91666667,515,178.4166667,1.926060922,NA
85,-4.133611111,42.00916667,1125,Quercus petraea*,deciduous,angiosperm,0.236103896,18.03059361,NA,234.4059,1.856841,22.282092,1.351454,11.41666667,11.41666667,42.91666667,515,178.4166667,1.926060922,NA
86,-5.2,42.00944444,1125,Quercus pyrenaica (Q. toza)*,deciduous,angiosperm,0.110621302,8.648717949,23.1669351,221.201,1.968319,23.619828,1.244981,12.425,12.425,38.16666667,458,187.3333333,1.61587403,24.21464364
87,1.298333333,42.01305556,1525,Juniperus communis,evergreen,gymnosperm,0.09,2.7,NA,211.0984,1.944597,23.335164,1.433973,13.56666667,13.56666667,43.75,525,177.9166667,1.874852904,NA
87,1.298333333,42.01305556,1525,Pinus sylvestris*,evergreen,gymnosperm,0.372367601,17.32767857,NA,211.0984,1.944597,23.335164,1.433973,13.56666667,13.56666667,43.75,525,177.9166667,1.874852904,NA
87,1.298333333,42.01305556,1525,Pinus uncinata*,evergreen,gymnosperm,0.270666667,15.63571429,NA,211.0984,1.944597,23.335164,1.433973,13.56666667,13.56666667,43.75,525,177.9166667,1.874852904,NA
