Site,lon,lat,species,Type,Type2,PFTs,D,H,Ac,R,Gst,MI,ppfd,Database
539,10.83944444,52.05027778,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.214965812,21.40900621,NA,NA,9.483333333,3.755523337,20.4449616,ICP
539,10.83944444,52.05027778,Quercus petraea*,deciduous,angiosperm,Deciduous angiosperm,0.537175439,29.79433962,NA,NA,9.483333333,3.755523337,20.4449616,ICP
539,10.83944444,52.05027778,Picea abies (P. excelsa)*,evergreen,gymnosperm,Evergreen gymnosperm,0.157,15.4,NA,NA,9.483333333,3.755523337,20.4449616,ICP
540,7.907777778,52.05194444,Betula pendula*,deciduous,angiosperm,Deciduous angiosperm,0.168111111,16.47216495,NA,NA,9.783333333,4.948689291,19.5188832,ICP
540,7.907777778,52.05194444,Prunus serotina,deciduous,angiosperm,Deciduous angiosperm,0.171769231,10.44545455,NA,NA,9.783333333,4.948689291,19.5188832,ICP
540,7.907777778,52.05194444,Sorbus aucuparia,deciduous,angiosperm,Deciduous angiosperm,0.1168,7.55,NA,NA,9.783333333,4.948689291,19.5188832,ICP
540,7.907777778,52.05194444,Picea abies (P. excelsa)*,evergreen,gymnosperm,Evergreen gymnosperm,0.254538462,16.55555556,NA,NA,9.783333333,4.948689291,19.5188832,ICP
540,7.907777778,52.05194444,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.273780919,20.35256798,NA,NA,9.783333333,4.948689291,19.5188832,ICP
541,52.99777778,52.0525,Betula pendula*,deciduous,angiosperm,Deciduous angiosperm,0.491666667,NA,NA,NA,14.31428571,2.255309492,23.49389664,ICP
541,52.99777778,52.0525,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.282836323,23.94333333,NA,NA,14.31428571,2.255309492,23.49389664,ICP
542,52.55833333,52.05277778,Betula pendula*,deciduous,angiosperm,Deciduous angiosperm,0.149833333,17.5,NA,NA,14.78571429,2.087768526,23.3656704,ICP
542,52.55833333,52.05277778,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.164788235,17.75862069,NA,NA,14.78571429,2.087768526,23.3656704,ICP
543,52.52916667,52.05305556,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.238170949,23.72444444,NA,NA,14.48571429,2.285457291,23.37991776,ICP
544,52.81111111,52.05333333,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.184090177,18.32008734,NA,NA,14.71428571,2.037011118,23.45115456,ICP
545,52.95388889,52.05361111,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.179890443,18.52777778,NA,NA,14.54285714,2.189089104,23.49389664,ICP
546,52.715,52.05388889,Betula pendula*,deciduous,angiosperm,Deciduous angiosperm,0.265333333,NA,NA,NA,14.5,2.325046585,23.45115456,ICP
546,52.715,52.05388889,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.191741259,15.7,NA,NA,14.5,2.325046585,23.45115456,ICP
547,52.35138889,52.05444444,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.196881503,20.06966292,NA,NA,14.58571429,2.15440826,23.35142304,ICP
548,52.26388889,52.055,Betula pendula*,deciduous,angiosperm,Deciduous angiosperm,0.21984507,NA,NA,NA,14.78571429,2.170473455,23.40841248,ICP
548,52.26388889,52.055,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.206865299,20.31111111,NA,NA,14.78571429,2.170473455,23.40841248,ICP
549,52.00277778,52.05527778,Betula pendula*,deciduous,angiosperm,Deciduous angiosperm,0.104285714,NA,NA,NA,14.47142857,2.436539531,23.39416512,ICP
549,52.00277778,52.05527778,Fagus sylvatica*,deciduous,angiosperm,Deciduous angiosperm,0.161324324,NA,NA,NA,14.47142857,2.436539531,23.39416512,ICP
549,52.00277778,52.05527778,Quercus robur (Q. pedunculata)*,deciduous,angiosperm,Deciduous angiosperm,0.121453237,9.503448276,NA,NA,14.47142857,2.436539531,23.39416512,ICP
549,52.00277778,52.05527778,"Ulmus minor (U. campestris, U. carpinifolia)",deciduous,angiosperm,Deciduous angiosperm,0.1795,NA,NA,NA,14.47142857,2.436539531,23.39416512,ICP
549,52.00277778,52.05527778,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.270680891,24.86923077,NA,NA,14.47142857,2.436539531,23.39416512,ICP
550,52.64444444,52.05583333,Pinus sylvestris*,evergreen,gymnosperm,Evergreen gymnosperm,0.215358974,21.07888889,NA,NA,14.72857143,2.078643796,23.3656704,ICP
551,52.48333333,52.05722222,Carpinus betulus*,deciduous,angiosperm,Deciduous angiosperm,0.149,13.9,NA,NA,14.58571429,2.29740843,23.42265984,ICP
551,52.48333333,52.05722222,Quercus robur (Q. pedunculata)*,deciduous,angiosperm,Deciduous angiosperm,0.282904325,23.83546798,NA,NA,14.58571429,2.29740843,23.42265984,ICP
