H,Database
15.40083333,BAAD
9.53962963,BAAD
27.03333333,BAAD
10.16416667,BAAD
12.13,BAAD
15.86071429,BAAD
15.90611111,BAAD
13.57259615,ICP
14.68333333,ICP
13.08888889,ICP
19.828,ICP
18.12142857,ICP
16.53636364,ICP
22.02,ICP
18.04326241,ICP
13.36728395,ICP
18.8021978,ICP
19.91428571,ICP
20.85,ICP
11.35365854,ICP
16.79166667,ICP
6.65,ICP
7.893975904,ICP
6.65,ICP
7.533333333,ICP
NA,ICP
9.577764706,ICP
NA,ICP
16.98810573,ICP
NA,ICP
7.213605442,ICP
6.375,ICP
6,ICP
13.40540839,ICP
4.306504065,ICP
5.751724138,ICP
NA,ICP
6.734110169,ICP
NA,ICP
NA,ICP
27.76026786,ICP
NA,ICP
NA,ICP
22.80443213,ICP
3,ICP
2.46,ICP
19.6952381,ICP
9.833333333,ICP
NA,ICP
8.65,ICP
NA,ICP
NA,ICP
NA,ICP
9.680529101,ICP
7.604635762,ICP
10.97205624,ICP
12.3125,ICP
NA,ICP
NA,ICP
7.5,ICP
11.96803653,ICP
6.666666667,ICP
4.5,ICP
14.50347395,ICP
NA,ICP
24.86916667,ICP
6.04551495,ICP
NA,ICP
NA,ICP
8.108333333,ICP
5.5,ICP
16.37455621,ICP
5.876447876,ICP
14.4857671,ICP
9.621463415,ICP
5.858304297,ICP
6.796753247,ICP
8.325,ICP
12.35,ICP
11.72403101,ICP
NA,ICP
NA,ICP
NA,ICP
18.22119205,ICP
20.02,ICP
NA,ICP
28.57747036,ICP
7.633333333,ICP
15.13315436,ICP
8.226998689,ICP
NA,ICP
NA,ICP
9.01954023,ICP
4.185606061,ICP
15.66426593,ICP
6.776068376,ICP
15.946,ICP
12.14524752,ICP
14.78348387,ICP
26.01556291,ICP
14.42645503,ICP
23.14929078,ICP
NA,ICP
8.676470588,ICP
NA,ICP
NA,ICP
NA,ICP
24.475,ICP
26.15,ICP
19.03333333,ICP
26.92585366,ICP
NA,ICP
NA,ICP
9.054807692,ICP
NA,ICP
16.14642857,ICP
17.87142857,ICP
17.48571429,ICP
15.4,ICP
NA,ICP
15.5,ICP
19.15,ICP
NA,ICP
24.34210526,ICP
12.76666667,ICP
14.525,ICP
12.175,ICP
NA,ICP
5.5,ICP
9.674603175,ICP
NA,ICP
NA,ICP
6.491666667,ICP
NA,ICP
10.12237762,ICP
NA,ICP
6.041551247,ICP
17.33859935,ICP
14.67171717,ICP
5.470052083,ICP
7,ICP
10.56125654,ICP
14.86960557,ICP
11.83333333,ICP
NA,ICP
NA,ICP
NA,ICP
24.69899329,ICP
23.06823266,ICP
13.91875,ICP
23.74358974,ICP
18.4,ICP
25,ICP
25.2,ICP
11.33333333,ICP
22.53958333,ICP
24.58157895,ICP
10.01666667,ICP
17.64509804,ICP
NA,ICP
16.46877637,ICP
NA,ICP
15.18,ICP
NA,ICP
29.67236842,ICP
9.244318182,ICP
NA,ICP
12,ICP
7.204545455,ICP
14.85042735,ICP
15.5,ICP
14.42429907,ICP
NA,ICP
8.3,ICP
NA,ICP
NA,ICP
13.42368421,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
15.19454545,ICP
NA,ICP
NA,ICP
9.77826087,ICP
18.03059361,ICP
8.648717949,ICP
2.7,ICP
17.32767857,ICP
15.63571429,ICP
12.08333333,ICP
14,ICP
19.13442623,ICP
20.34185185,ICP
7.3,ICP
11.25142857,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
38.62178571,ICP
31.14578755,ICP
24.69525547,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
30.45174825,ICP
NA,ICP
NA,ICP
NA,ICP
7.687681159,ICP
27.6,ICP
23.87735849,ICP
15.5,ICP
23.52820513,ICP
22.65131579,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
26.03091603,ICP
NA,ICP
18.56136364,ICP
12.4699187,ICP
NA,ICP
NA,ICP
NA,ICP
25.07252747,ICP
NA,ICP
NA,ICP
10.41,ICP
NA,ICP
NA,ICP
NA,ICP
10.16428571,ICP
NA,ICP
NA,ICP
19.29259259,ICP
12.4,ICP
NA,ICP
NA,ICP
6.9,ICP
20.38,ICP
19.57824176,ICP
12.84333333,ICP
12.68723404,ICP
12.55,ICP
16.55,ICP
28.57333333,ICP
NA,ICP
NA,ICP
9.5,ICP
NA,ICP
15.31545455,ICP
34.1,ICP
15.26818182,ICP
10.8,ICP
11.85,ICP
NA,ICP
5.25,ICP
11.29411765,ICP
NA,ICP
NA,ICP
27.09661017,ICP
NA,ICP
5.65,ICP
NA,ICP
13.5,ICP
3.2,ICP
31.06549708,ICP
5.15,ICP
5.473972603,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
40.85173913,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
24.7869258,ICP
NA,ICP
NA,ICP
18.89887218,ICP
32.05365854,ICP
11,ICP
8,ICP
24.00365854,ICP
NA,ICP
24.61127273,ICP
27.25163636,ICP
23.78947368,ICP
NA,ICP
28.88235294,ICP
23,ICP
NA,ICP
NA,ICP
NA,ICP
24.8266881,ICP
NA,ICP
29.62697674,ICP
NA,ICP
NA,ICP
8.323668639,ICP
NA,ICP
18.68134328,ICP
10.4442953,ICP
17.9745098,ICP
NA,ICP
18.53695652,ICP
16.13888889,ICP
25.23043478,ICP
9.766666667,ICP
20,ICP
13.23333333,ICP
19.9175,ICP
17.37032967,ICP
8.470588235,ICP
9.5,ICP
19.94586466,ICP
18.52736842,ICP
13.51666667,ICP
6.2,ICP
17.93,ICP
19.585,ICP
28.46666667,ICP
26.25984252,ICP
27.03246753,ICP
15.56368421,ICP
NA,ICP
NA,ICP
15.8,ICP
12.84285714,ICP
9.72,ICP
NA,ICP
22.87179487,ICP
20.31626506,ICP
12.30833333,ICP
14.22105263,ICP
NA,ICP
NA,ICP
NA,ICP
27.25735294,ICP
NA,ICP
24.85,ICP
8.85,ICP
18.45,ICP
NA,ICP
NA,ICP
25.43464286,ICP
NA,ICP
NA,ICP
19.60344828,ICP
NA,ICP
23.02453532,ICP
23.16842105,ICP
NA,ICP
NA,ICP
18.69651568,ICP
10.71675532,ICP
13.27241379,ICP
12.8,ICP
NA,ICP
25.5133574,ICP
NA,ICP
18.14872727,ICP
NA,ICP
NA,ICP
NA,ICP
17.31794872,ICP
NA,ICP
NA,ICP
NA,ICP
16.85017065,ICP
10.46,ICP
NA,ICP
NA,ICP
12.28117647,ICP
NA,ICP
22.39026217,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
NA,ICP
28.63248175,ICP
NA,ICP
NA,ICP
29.0025,ICP
NA,ICP
26.59272727,ICP
NA,ICP
NA,ICP
